centre,node2,node3,node4,node5,node6,node7,node8,node9,node10
801,10142,859,805,3757,6262,3784,6331,775,23770
853142,850513,852625,856716,853870,853418,851306,856530,,
6640,1756,6300,362242,23209,3761,7402,307594,491,3358
9722,4842,51655,1173,4036,11339,7804,5898,6622,6640
10345,6261,845,3270,9482,6262,801,213,5501,7013
2543245,2542349,,,,,,,,
808,89910,409,3785,773,815,2885,4343,5105,80726
12313,12314,217331,14810,100986,12447,108071,14812,12315,105689
24242,24239,50522,25722,24766,6330,4900,4846,12313,
287,55172,114299,81565,4914,23043,10280,6640,3757,10142
84920,1902,25844,64838,491,3358,859,,,
12391,20648,13405,330953,14688,,,,,
109676,240057,58234,15204,545156,105689,20430,6622,100986,9722
38863,5740544,48448,31792,31248,,,,,
3762,3760,1815,1813,154,,,,,
20191,12288,116644,16170,16518,851545,109552,12313,108071,208158
362036,29715,24211,,,,,,,
36071,36329,41067,31050,,,,,,
100986,53424,239083,14812,15204,14810,,,,
10008,51280,,,,,,,,
29161,24598,117018,,,,,,,
246150,25573,380450,,,,,,,
3759,1742,1739,,,,,,,
396838,100301531,,,,,,,,
396523,427272,,,,,,,,
520277,820128,,,,,,,,
397085,100154056,,,,,,,,
