ncbi_gene_id,organism,geneSymbol
68045,Mus musculus (house mouse),Rtraf
72097,Mus musculus (house mouse),Cracdl
64159,Rattus norvegicus (Norway rat),Sptan1
208158,Mus musculus (house mouse),Map6d1
67040,Mus musculus (house mouse),Ddx17
71702,Mus musculus (house mouse),Cdc5l
234663,Mus musculus (house mouse),Dync1li2
68585,Mus musculus (house mouse),Rtn4
22288,Mus musculus (house mouse),Utrn
9,Homo sapiens (human),NAT1
2744,Homo sapiens (human),GLS
10057,Homo sapiens (human),ABCC5
23456,Homo sapiens (human),ABCB10
51428,Homo sapiens (human),DDX41
8786,Homo sapiens (human),RGS11
59272,Homo sapiens (human),ACE2
850504,Saccharomyces cerevisiae S288C," YFL039C, ABY1, END7"
5663,Homo sapiens (human),PSEN1
11174,Homo sapiens (human),ADAMTS6
81792,Homo sapiens (human),ADAMTS12
73748,Mus musculus (house mouse),Gadl1
118,Homo sapiens (human),ADD1
67054,Mus musculus (house mouse),Paics
25369,Rattus norvegicus (Norway rat),Adora2a
150,Homo sapiens (human),ADRA2A
55630,Homo sapiens (human),SLC39A4
11518,Mus musculus (house mouse),Add1
66589,Mus musculus (house mouse),Ube2v1
22343,Mus musculus (house mouse),Lin7c
320191,Mus musculus (house mouse),Hook3
22153,Mus musculus (house mouse),Tubb4a
12391,Mus musculus (house mouse),Cav3
68203,Mus musculus (house mouse),Diras2
270097,Mus musculus (house mouse),Vat1l
19088,Mus musculus (house mouse),Prkar2b
102093,Mus musculus (house mouse),Phkb
52163,Mus musculus (house mouse),Camk1
21454,Mus musculus (house mouse),Tcp1
71770,Mus musculus (house mouse),Ap2b1
216831,Mus musculus (house mouse),Arhgap44
20273,Mus musculus (house mouse),Scn8a
18750,Mus musculus (house mouse),Prkca
13424,Mus musculus (house mouse),Dync1h1
22806,Homo sapiens (human),IKZF3
8227,Homo sapiens (human),AKAP17A
9472,Homo sapiens (human),AKAP6
9495,Homo sapiens (human),AKAP5
22631,Mus musculus (house mouse),Ywhaz
12314,Mus musculus (house mouse),Calm2
854233,Saccharomyces cerevisiae S288C," YOR067C, YOR29-18"
855502,Saccharomyces cerevisiae S288C, YNL219C
9782,Homo sapiens (human),MATR3
6727,Homo sapiens (human),SRP14
273,Homo sapiens (human),AMPH
274,Homo sapiens (human),BIN1
213,Homo sapiens (human),ALB
7337,Homo sapiens (human),UBE3A
81573,Homo sapiens (human),ANKRD13C
54443,Homo sapiens (human),ANLN
856675,Saccharomyces cerevisiae S288C," YEL036C, GEM3, MNN8"
854734,Saccharomyces cerevisiae S288C," YIL076W, ANU2"
1173,Homo sapiens (human),AP2M1
853177,Saccharomyces cerevisiae S288C," YGR261C, YKS5"
351,Homo sapiens (human),APP
10513,Homo sapiens (human),APPBP2
55156,Homo sapiens (human),ARMC1
408,Homo sapiens (human),ARRB1
433,Homo sapiens (human),ASGR2
185,Homo sapiens (human),AGTR1
820128,Arabidopsis thaliana (thale cress),[Arabidopsis
3759,Homo sapiens (human),KCNJ2
495,Homo sapiens (human),ATP4A
506,Homo sapiens (human),ATP5F1B
17999,Mus musculus (house mouse),Nedd4
66049,Mus musculus (house mouse),Rogdi
19894,Mus musculus (house mouse),Rph3a
19359,Mus musculus (house mouse),Rad23b
14467,Mus musculus (house mouse),Nipsnap2
67068,Mus musculus (house mouse),Dynlrb1
24050,Mus musculus (house mouse),Septin3
11514,Mus musculus (house mouse),Adcy8
19325,Mus musculus (house mouse),Rab10
20979,Mus musculus (house mouse),Syt1
12343,Mus musculus (house mouse),Capza2
12306,Mus musculus (house mouse),Anxa2
20779,Mus musculus (house mouse),Src
23790,Mus musculus (house mouse),Coro1c
18015,Mus musculus (house mouse),Nf1
74192,Mus musculus (house mouse),Arpc5l
17184,Mus musculus (house mouse),Matr3
719,Homo sapiens (human),C3AR1
44913,Drosophila melanogaster (fruit fly),Acam
238880,Mus musculus (house mouse),Actbl2
246150,Rattus norvegicus (Norway rat),Akap9
218038,Mus musculus (house mouse),Amph
109676,Mus musculus (house mouse),Ank2
362036,Rattus norvegicus (Norway rat),Ank2
99152,Mus musculus (house mouse),Anapc2
20391,Mus musculus (house mouse),Sgca
24211,Rattus norvegicus (Norway rat),Atp1a1
24212,Rattus norvegicus (Norway rat),Atp1a2
24213,Rattus norvegicus (Norway rat),Atp1a3
319934,Mus musculus (house mouse),Sbf2
9532,Homo sapiens (human),BAG2
575,Homo sapiens (human),ADGRB1
577,Homo sapiens (human),ADGRB3
154,Homo sapiens (human),ADRB2
409,Homo sapiens (human),ARRB2
235604,Mus musculus (house mouse),Camkv
153,Homo sapiens (human),ADRB1
13589,Mus musculus (house mouse),Mapre1
853551,Saccharomyces cerevisiae S288C, YJR089W
57448,Homo sapiens (human),BIRC6
80213,Homo sapiens (human),TM2D3
51562,Homo sapiens (human),MBIP
55835,Homo sapiens (human),CENPJ
2040,Homo sapiens (human),STOM
617095,Bos taurus (cattle),[Bos
2812,Homo sapiens (human),GP1BB
857,Homo sapiens (human),CAV1
852709,Saccharomyces cerevisiae S288C," YGL167C, BSD1, LDB1, SSC1"
6696,Homo sapiens (human),SPP1
856514,Saccharomyces cerevisiae S288C," YHR114W, LSB7"
53585,Drosophila melanogaster (fruit fly),Debcl
12211,Mus musculus (house mouse),Birc6
23371,Homo sapiens (human),TNS2
56851,Homo sapiens (human),EMC7
55216,Homo sapiens (human),NKAPD1
160140,Homo sapiens (human),C11orf65
19340,Mus musculus (house mouse),Rab3d
25764,Homo sapiens (human),HYPK
284361,Homo sapiens (human),EMC10
55791,Homo sapiens (human),LRIF1
27185,Homo sapiens (human),DISC1
440712,Homo sapiens (human),RHEX
388591,Homo sapiens (human),RNF207
254268,Homo sapiens (human),AKNAD1
127795,Homo sapiens (human),C1orf87
84970,Homo sapiens (human),C1orf94
54994,Homo sapiens (human),GID8
26133,Homo sapiens (human),TRPC4AP
54014,Homo sapiens (human),BRWD1
79823,Homo sapiens (human),CAMKMT
270192,Mus musculus (house mouse),Rab6b
55755,Homo sapiens (human),CDK5RAP2
401152,Homo sapiens (human),C4orf3
665113,Mus musculus (house mouse),Tnik
25844,Homo sapiens (human),YIPF3
76499,Mus musculus (house mouse),Clasp2
66314,Mus musculus (house mouse),Tpd52l2
83679,Mus musculus (house mouse),Pde4dip
784,Homo sapiens (human),CACNB3
775,Homo sapiens (human),CACNA1C
9478,Homo sapiens (human),CABP1
10752,Homo sapiens (human),CHL1
326597,Bos taurus (cattle),taurus
100154056,Sus scrofa (pig),[Sus
396523,Gallus gallus (chicken),CALM1
396838,Sus scrofa (pig),[Sus
520277,Bos taurus (cattle),[Bos
805,Homo sapiens (human),CALM2
57118,Homo sapiens (human),CAMK1D
815,Homo sapiens (human),CAMK2A
10645,Homo sapiens (human),CAMKK2
79012,Homo sapiens (human),CAMKV
23125,Homo sapiens (human),CAMTA2
55832,Homo sapiens (human),CAND1
132320,Homo sapiens (human),SCLT1
70350,Mus musculus (house mouse),Basp1
1654,Homo sapiens (human),DDX3X
9482,Homo sapiens (human),STX8
9994,Homo sapiens (human),CASP8AP2
854292,Saccharomyces cerevisiae S288C," YOR125C, COQ7"
153241,Homo sapiens (human),CEP120
64770,Homo sapiens (human),CCDC14
90799,Homo sapiens (human),CEP95
80323,Homo sapiens (human),CCDC68
890,Homo sapiens (human),CCNA2
894,Homo sapiens (human),CCND2
898,Homo sapiens (human),CCNE1
16337,Mus musculus (house mouse),Insr
851763,Saccharomyces cerevisiae S288C," YDR182W, DSC1, DSR1, ESP2"
851306,Saccharomyces cerevisiae S288C," YDL220C, EST4"
6331,Homo sapiens (human),SCN5A
1050,Homo sapiens (human),CEBPA
988,Homo sapiens (human),CDC5L
4650,Homo sapiens (human),MYO9B
80152,Homo sapiens (human),CENPT
9731,Homo sapiens (human),CEP104
645455,Homo sapiens (human),CEP170P1
1068,Homo sapiens (human),CETN1
10142,Homo sapiens (human),AKAP9
41067,Drosophila melanogaster (fruit fly),ScsbetaA
36071,Drosophila melanogaster (fruit fly),KCNQ
41392,Drosophila melanogaster (fruit fly),Jupiter
4726,Homo sapiens (human),NDUFS6
55172,Homo sapiens (human),DNAAF2
48448,Drosophila melanogaster (fruit fly),CkIIalpha
1453,Homo sapiens (human),CSNK1D
1158,Homo sapiens (human),CKM
1159,Homo sapiens (human),CKMT1B
64581,Homo sapiens (human),CLEC7A
57158,Homo sapiens (human),JPH2
23095,Homo sapiens (human),KIF1B
8898,Homo sapiens (human),MTMR2
55388,Homo sapiens (human),MCM10
1264,Homo sapiens (human),CNN1
1315,Homo sapiens (human),COPB1
10987,Homo sapiens (human),COPS5
1345,Homo sapiens (human),COX6C
6717,Homo sapiens (human),SRI
12345,Mus musculus (house mouse),Capzb
1432,Homo sapiens (human),MAPK14
850776,Saccharomyces cerevisiae S288C, YLR087C
852324,Saccharomyces cerevisiae S288C," YBR036C, CLS2"
1457,Homo sapiens (human),CSNK2A1
441521,Homo sapiens (human),CT45A5
11339,Homo sapiens (human),OIP5
854928,Saccharomyces cerevisiae S288C, YML112W
8454,Homo sapiens (human),CUL1
850376,Saccharomyces cerevisiae S288C, YCR017C
1540,Homo sapiens (human),CYLD
6249,Homo sapiens (human),CLIP1
24242,Rattus norvegicus (Norway rat),Calm1
12297,Mus musculus (house mouse),Cacnb3
116506,Rattus norvegicus (Norway rat),Calcr
12313,Mus musculus (house mouse),Calm1
70405,Mus musculus (house mouse),Calml3
227541,Mus musculus (house mouse),Camk1d
12323,Mus musculus (house mouse),Camk2b
108058,Mus musculus (house mouse),Camk2d
29161,Rattus norvegicus (Norway rat),Cav3
12288,Mus musculus (house mouse),Cacna1c
18951,Mus musculus (house mouse),Septin5
216439,Mus musculus (house mouse),Agap2
9738,Homo sapiens (human),CCP110
74325,Mus musculus (house mouse),Cltb
12799,Mus musculus (house mouse),Cnp
58959,Rattus norvegicus (Norway rat),Crhr1
