HPO,phenotype
HP:0001279,Syncope
HP:0001657,Prolonged QT interval
HP:0001662,Bradycardia
HP:0001663,Ventricular fibrillation
HP:0001664,Torsade de pointes
HP:0001678,Atrioventricular block
HP:0001688,Sinus bradycardia
HP:0001695,Cardiac arrest-Occasional
HP:0004308,Ventricular arrhythmia
HP:0005110,Atrial fibrillation-Occasional
HP:0005184,Prolonged QTc interval
HP:0011648,Patent ductus arteriosus after birth at term
HP:0011682,Perimembranous ventricular septal defect
HP:0011706,Second degree atrioventricular block
HP:0012266,T-wave alternans
